TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
1;CA_Search;;Custom;;;LAUNCHSITE;$HybrisGermanEnv.QA_URL.Field1;;Launch Application;;;;
;;;LoginPage;Login;UserName;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Implicit Wait;;;;
;;;LoginPage;Login;UserName;ENTER;$PIMUsers.CALanEnricherUser.Field1;;Enter User Name;;ON ERROR EXIT SCENARIO;;
;;;LoginPage;Login;Password;ENTER;$PIMUsers.CALanEnricherPwd.Field1;;Enter Password;;;;
;;;DMIOnlineSync;Login;hybris_product_cockpit_Select_Language;CLICK;;;Opening Dropdown for Language;;;;
;;;HybrisGerman;Login;hybris_product_cockpit_Select_Language_EnglishCanada;CLICK;;;English CA Language is selected;;;;
;;;LoginPage;Login;Login;CLICK;;;Click Login;;ON ERROR EXIT SCENARIO;;
;;;Custom;;;WAIT;30;;;;;;
;;;HybrisGerman;HomeMiddlePane;GridViewCatalog_german_care_Body_GridView;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading Home Page;;;;
;;;HybrisGerman;HomeMiddlePane;GridViewCatalog_german_care_Body_GridView;CLICK;;;Click Grid View;;;;
;;;Custom;;;WAIT;5;;;;;;
;;;DMIOnlineSync;Home;Progressbar_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Progress Bar;;IGNORE REPORT;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading Result;;;;
;;IF;HybrisGerman;HomeMiddlePane;FirstResult;VERIFYELEMENTNOTPRESENT;;;If variant not pesent;;;;
;;;DMIOnlineSync;RightPane;Page_Size;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Page Size Dropdown;;IGNORE REPORT;;
;;;DMIOnlineSync;RightPane;Page_Size;CLICK;;;Click on Page Size Dropdown;;IGNORE REPORT;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Select Max;;IGNORE REPORT;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;CLICK;;;Click on Maximum;;IGNORE REPORT;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;ENTER;max;;Click on Maximum;;IGNORE REPORT;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;RightPane;BrowserArea_Item_Intotal;CLICK;;;Click on Browser Area;;IGNORE REPORT;;
;;END IF;Custom;;;WAIT;10;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;IGNORE REPORT;;
;;;DMIOnlineSync;Home;Progressbar_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Progress Bar;;IGNORE REPORT;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading Result;;;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;CLICK;;;Click First Result;;;;
;;;HybrisGerman;HomeMiddlePane;Get_EAN;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading values;;;;
;;;HybrisGerman;HomeMiddlePane;Get_EAN;SETATTRIBUTEVARIABLE;{{EANValue}};textContent;Get EAN of Result;;;;
;;;HybrisGerman;HomeMiddlePane;Get_ProductCode;SETATTRIBUTEVARIABLE;{{ProductCodeValue}};textContent;Get Compass Code of Result;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_search;CLEARFIELD;;;Clear Search Field;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_search;ENTER;{{ProductCodeValue}};;Enter Compass Code in Search Field;;;;
;;;Custom;;;WAIT;2;;;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_search;CLEARFIELD;;;Clear Search Field;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_search;ENTER;{{ProductCodeValue}};;Enter Compass Code in Search Field;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_search_button;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading Search Button;;;;
;;;Custom;;;WAIT;5;;Wait;;;;
;;;DMIOnlineSync;RightPane;BrowserArea_Item_Intotal;CLICK;;;Click on Browser Area;;IGNORE REPORT;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;IGNORE REPORT;;
;;;DMIOnlineSync;Home;Progressbar_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Progress Bar;;IGNORE REPORT;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_search_button;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading Search Button;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_search_button;CLICK;;;Click Search button;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
;;;Custom;;;WAIT;30;;Wait;;;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for first result;;;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;CLICK;;;Click Result;;;;
;;;Custom;;;WAIT;10;;Wait;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_deutsch_result_image_product_ProductCode;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading Attribute;;;;
