TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
1;Lancome_CompleteEnrichment;;Custom;;;LAUNCHSITE;$HybrisGermanEnv.QA_URL.Field1;;Launch Application;;;;
;;;Custom;;;IMPLICITWAIT;10;;Implicit Wait;;;;
;;;DMIOnlineSync;Login;UserName;ENTER;$PIMUsers.CALanEnricherUser.Field1;;Enter User Name;;ON ERROR EXIT SCENARIO;;
;;;DMIOnlineSync;Login;Password;ENTER;$PIMUsers.CALanEnricherPwd.Field1;;Enter Password;;;;
;;;DMIOnlineSync;Login;hybris_product_cockpit_Select_Language;CLICK;;;Opening Dropdown for Language;;;;
;;;HybrisGerman;Login;hybris_product_cockpit_Select_Language_EnglishCanada;CLICK;;;English Language is selected;;;;
;;;DMIOnlineSync;Login;Login;CLICK;;;Click Login;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;$HybrisGermanEnv.MaxWait.Field1;;Wait till Loading Indicator;;IGNORE REPORT;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_infobox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Infobox to appear;;;;
;;IF;ProductRHS;FRPIMHybrisLocator;PIM_hybris_tasks;VERIFYELEMENTPRESENT;;;Verify Infobox Popup is open;;;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_tasks;CLICK;;;Click Infobox Popup;;ON ERROR EXIT SCENARIO;;
;;ELSE;Custom;;;WAIT;5;;Custom Wait;;;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_infobox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Infobox to appear;;;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_infobox;CLICK;;;Click Infobox;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_tasks;CLICK;;;Click Infobox Popup;;ON ERROR EXIT SCENARIO;;
;;END IF;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;RightPane;Page_Size;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Page Size Dropdown;;;;
;;;DMIOnlineSync;RightPane;Page_Size;CLICK;;;Click on Page Size Dropdown;;;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Select Max;;;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;CLICK;;;Click on Maximum;;;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;ENTER;max;;Click on Maximum;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;RightPane;BrowserArea_Item_Intotal;CLICK;;;Click on Browser Area;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Progressbar_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Progress Bar;;;;
;;;DMIOnlineSync;Home;New_Product_Enrichment;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for New_Product_Enrichment;;;;
;;;DMIOnlineSync;Home;New_Product_Enrichment;CLICK;;;Click on New_Product_Enrichment;;ON ERROR EXIT SCENARIO;;
;;;DMIOnlineSync;Home;Go_To_Attachments;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Go To Attachments;;;;
;;;DMIOnlineSync;Home;Go_To_Attachments;CLICK;;;Click Go To Attachments;;;;
;;;DMIOnlineSync;Home;First_ProductEN_CA;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for First Product;;;;
;;;DMIOnlineSync;Home;First_ProductEN_CA;DOUBLECLICK;;;Click First Variant Product;;;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
;;;DMIOnlineSync;Home;Display_Master_Product;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Display Master Product Button;;;;
;;;DMIOnlineSync;Home;LorealProductEan;SETATTRIBUTEVARIABLE;{{LorealProductEanLancome}};textContent;Get Ean text;;;;
;;;DMIOnlineSync;Home;LorealProductEan;SETORVARIABLE;{{LorealProductEanLancome}};{{LorealProductEanLancome}};Set Ean text to varibale;;;;
;;;DMIOnlineSync;Home;Display_Master_Product;ScrollToEleWithinDiv;;;Scrolls to the element;;;;
;;;DMIOnlineSync;Home;Display_Master_Product;CLICK;;;Switch to Base Product;;;;
;;;Custom;;;WAIT;3;;Custom Wait;;;;
;;;DMIOnlineSync;Home;First_Product;DOUBLECLICK;;;Click on Base Product;;;;
;;;Custom;;;WAIT;3;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
;;;DMIOnlineSync;Home;General_Product_Information;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for General Product Information;;;;
;;;DMIOnlineSync;Home;General_Product_Information;RIGHTMOUSECLICK;;;Right Click General Product Information;;;;
;;;DMIOnlineSync;Home;Expand_All_Tabs;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Expand All ;;;;
;;;DMIOnlineSync;Home;Expand_All_Tabs;CLICK;;;Click on Expand All ;;;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
;;;DMIOnlineSync;RightPane;CASizeEnriched;ENTER;1232432;;CASizeEnriched;;;;
;;;DMIOnlineSync;RightPane;CAProductSubTitle;ENTER;Automation test1;;CAProductSubTitle;;;;
;;;DMIOnlineSync;RightPane;CASafetyInformation;ENTER;Automation test2;;CASafetyInformation;;;;
;;;DMIOnlineSync;RightPane;CAProductDescriptionShort;ENTER;Automation test3;;CAProductDescriptionShort;;;;
;;;DMIOnlineSync;RightPane;CAProductDescriptionCarousel;ENTER;Automation test4;;CAProductDescriptionCarousel;;;;
;;;DMIOnlineSync;RightPane;CAProductDescriptionLong;ENTER;Automation test5;;CAProductDescriptionLong;;;;
;;;DMIOnlineSync;RightPane;CABenefit1;ENTER;Automation test6;;CABenefit1;;;;
;;;DMIOnlineSync;RightPane;CABenefit2;VERIFYELEMENTPRESENT;;;CABenefit2;;;;
;;;DMIOnlineSync;RightPane;CABenefit3;VERIFYELEMENTPRESENT;;;CABenefit3;;;;
