TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
CAOTMMTaxanomyMNY;MAYBELLINEOTMMTAXONOMY;;Custom;;;LAUNCHSITE;$HybrisGermanEnv.OTMM_URL.Field1;;Launch Application;;ON ERROR EXIT SCENARIO;;
;;;OTMMAssetManager;Login;OTMM_user_id;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Implicit Wait;;;;
;;;OTMMAssetManager;Login;OTMM_user_id;ENTER;$OTMMUsers.CAMNYBAMUser.Field1;;Enter User Name;;;;
;;;OTMMAssetManager;Login;OTMM_password;ENTER;$OTMMUsers.CAMNYBAMPwd.Field1;;Enter Password;;;;
;;;OTMMAssetManager;Login;OTMM_login;CLICK;;;Click Login;;ON ERROR EXIT SCENARIO;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMFoldersTree;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for OTMM_Plugin_ContinueWithoutPugin;;;;
;;IF;OTMMAssetManager;Login;OTMM_Plugin_ContinueWithoutPugin;VERIFYELEMENTPRESENT;;;Verify the OTMM_Plugin_ContinueWithoutPugin is Present;;;;
;;;OTMMAssetManager;Login;OTMM_Plugin_ContinueWithoutPugin;CLICK;;;Click on OTMM_Plugin_ContinueWithoutPugin;;;;
;;ELSE;Custom;;;REFRESH;;;Refresh the page;;;;
;;;Custom;;;WAIT;10;;Wait for processing to complete;;;;
;;;OTMMAssetManager;Login;OTMM_Loading_Locator_Main;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading indicator to disappear;;;;
;;;OTMMAssetManager;Login;OTMM_Plugin_ContinueWithoutPugin;ClickIfPresent;;;Click on OTMM_Plugin_ContinueWithoutPugin;;;;
;;END IF;OTMMAssetManager;OTMMLHSTREE;OTMMFoldersTree;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Folders button;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMFoldersTree;CLICK;;;Click on Folders button;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders;CLICK;;;Click on Public Folders expand button;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_FirstTreeValue;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_FirstTreeValue;CLICK;;;Click on  Maybelline folder expand button;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_FirstTreeValue_First;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;;;;;
;;;OTMMAssetManager;FROTMMLHSTree;OTMM_LHS_Tree_MaybellineTxt;VERIFYELEMENTPRESENT;;;Verify Maybellin text;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_First_LastLevel_Mybelline;CLICK;;;Verify Maybellin text;;;;
;;;OTMMAssetManager;FROTMMLHSTree;OTMMPublicFolders_FirstTreeValue_MakeUp;VERIFYELEMENTPRESENT;;;Verify Make Up text;;;;
;;;OTMMAssetManager;FROTMMLHSTree;OTMMPublicFolders_FirstTreeValue_MakeUp;CLICK;;;Click Make Up text;;;;
;;;OTMMAssetManager;FROTMMLHSTree;OTMMPublicFolders_FirstTreeValue_EYESMakeUp;VERIFYELEMENTPRESENT;;;Verify Eyes Make Up text;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_FirstTreeValue_EYESMakeUp;VERIFYELEMENTPRESENT;;;Verify Eyes Make Up text;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_FirstTreeValue_FaceMakeUp;VERIFYELEMENTPRESENT;;;Verify FaceMake Up text;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_FirstTreeValue_LipsMakeUp;VERIFYELEMENTPRESENT;;;Verify Lips Make Up text;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_FirstTreeValue_NailsMakeUp;VERIFYELEMENTPRESENT;;;Verify Nails Make Up text;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_FirstTreeValue_OtherMakeUp;VERIFYELEMENTPRESENT;;;Verify Other Make Up text;;;;
;;;OTMMAssetManager;OTMMLHSTREE;OTMMPublicFolders_FirstTreeValue_Range;VERIFYELEMENTPRESENT;;;Verify Range text;;;;
;;;OTMMAssetManager;FROTMMLHSTree;OTMM_LHS_Tree_SkinCareTxt;VERIFYELEMENTPRESENT;;;Verify Skin Care text;;;;
;;;OTMMAssetManager;FROTMMLHSTree;OTMM_LHS_Tree_AgencyTxt;VERIFYELEMENTPRESENT;;;Verify Agency text;;;;
;;;OTMMAssetManager;FROTMMLHSTree;OTMM_LHS_Tree_OralCosmeticsandSundriesTxt;VERIFYELEMENTPRESENT;;;Verify cosmetics and Sundries text;;;;
;;;Custom;;;QUIT;;;Browser closed;;;;
