TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
CanadaRHSTabs;ValidateRHSTabs;;Custom;;;LAUNCHSITE;$HybrisGermanEnv.QA_URL.Field1;;Launch Application;;;;
;;;Custom;;;IMPLICITWAIT;10;;Implicit Wait;;;;
;;;DMIOnlineSync;Login;UserName;ENTER;$PIMUsers.CALanEnricherUser.Field1;;Enter User Name;;ON ERROR EXIT SCENARIO;;
;;;DMIOnlineSync;Login;Password;ENTER;$PIMUsers.CALanEnricherPwd.Field1;;Enter Password;;;;
;;;DMIOnlineSync;Login;hybris_product_cockpit_Select_Language;CLICK;;;Opening Dropdown for Language;;;;
;;;HybrisGerman;Login;hybris_product_cockpit_Select_Language_EnglishCanada;CLICK;;;English Language is selected;;;;
;;;DMIOnlineSync;Login;Login;CLICK;;;Click Login;;;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_infobox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Infobox to appear;;;;
;;IF;ProductRHS;FRPIMHybrisLocator;PIM_hybris_tasks;VERIFYELEMENTPRESENT;;;Verify Infobox Popup is open;;;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_tasks;CLICK;;;Click Infobox Popup;;ON ERROR EXIT SCENARIO;;
;;ELSE;Custom;;;WAIT;5;;Custom Wait;;;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_infobox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Infobox to appear;;;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_infobox;CLICK;;;Click Infobox;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;ProductRHS;FRPIMHybrisLocator;PIM_hybris_tasks;CLICK;;;Click Infobox Popup;;;;
;;END IF;Custom;;;WAIT;5;;Custom Wait;;;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;RightPane;Page_Size;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Page Size Dropdown;;;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Select Max;;;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;ENTER;max;;Click on Maximum;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;RightPane;BrowserArea_Item_Intotal;CLICK;;;Click on Browser Area;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Progressbar_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Progress Bar;;IGNORE REPORT;;
;;;DMIOnlineSync;Home;New_Product_Enrichment;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for New Product Enrichment;;;;
;;;DMIOnlineSync;Home;New_Product_Enrichment;CLICK;;;Click New Product;;;;
;;;Custom;;;WAIT;10;;Wait for DMI_Product_Workflow_Button;;;;
;;;DMIOnlineSync;Home;Go_To_Attachments;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for attachment icon;;;;
;;;DMIOnlineSync;Home;Go_To_Attachments;CLICK;;;Click Go To Attachments;;;;
;;;DMIOnlineSync;Home;First_Product;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for variant product;;;;
;;;Custom;;;WAIT;10;;Wait for DMI_Product_Workflow_Button;;;;
;;;DMIOnlineSync;Home;First_Product;DOUBLECLICK;;;Click Variant Product;;ON ERROR EXIT SCENARIO;;
;;;DMIOnlineSync;RightPane;Workflow_Actions;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for workflow actions;;;;
;;;DMIOnlineSync;RightPane;Workflow_Actions;VERIFYELEMENTPRESENT;;;Verify Workflow_Actions tab is available;;;;
;;;DMIOnlineSync;RightPane;General_Product_Information;VERIFYELEMENTPRESENT;;;Verify General_Product_Information tab is available;;;;
;;;DMIOnlineSync;RightPane;CA_Comments;VERIFYELEMENTPRESENT;;;Verify Comments;;;;
;;;DMIOnlineSync;RightPane;Marketing_Information;VERIFYELEMENTPRESENT;;;Verify Marketing_Information tab is available;;;;
;;;DMIOnlineSync;RightPane;CA_Category_Retailer_Related_Information;VERIFYELEMENTPRESENT;;;Verify Category_Related_Information tab is available;;;;
;;;DMIOnlineSync;RightPane;Digital_Product_Information;VERIFYELEMENTPRESENT;;;Verify Digital_Product_Information tab is available;;;;
;;;DMIOnlineSync;RightPane;Media_Information;VERIFYELEMENTPRESENT;;;Verify Media_Information tab is available;;;;
;;;DMIOnlineSync;RightPane;Product_Related_Information;VERIFYELEMENTPRESENT;;;Verify Product_Related_Information tab is available;;;;
;;;DMIOnlineSync;RightPane;CA_Logistic_Information;VERIFYELEMENTPRESENT;;;Verify Logistic_Information tab is available;;;;
;;;DMIOnlineSync;RightPane;Product_Hierarchy;VERIFYELEMENTPRESENT;;;Verify Product_Hierarchy tab is available;;;;
;;;DMIOnlineSync;RightPane;CA_Ingredients;VERIFYELEMENTPRESENT;;;Verify Ingredients tab is available;;;;
;;;Custom;;;QUIT;;;Quit the browser;;;;
