TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
1;VerifyProductDetails;;PDP;PDP;Name;VERIFYELEMENTPRESENT;;;Validate is product name is present on the page;;;;
;;;PDP;PDP;RatingReview;VERIFYELEMENTPRESENT;;;: Verify the <RatingReview> is Present;;;;
;;;;;Price;VERIFYELEMENTPRESENT;;;: Verify the <Price> is Present;;;;
;;;;;Description;VERIFYELEMENTPRESENT;;;: Verify the <Description> is Present;;;;
;;;;;Color;VERIFYELEMENTPRESENT;;;: Verify the <Color> is Present;;;;
;;;;;Image;VERIFYELEMENTPRESENT;;;: Verify the <Image> is Present;;;;
;;;;;AltImages;VERIFYELEMENTPRESENT;;;: Verify the <AltImages> is Present;;;;
;;;;;ZoomButton;VERIFYELEMENTPRESENT;;;: Verify the <ZoomButton> is Present;;;;
;;;;;FullScreenButton;VERIFYELEMENTPRESENT;;;: Verify the <FullScreenButton> is Present;;;;
2;ValidatePDPFunctionality;;PDP;PDP;WhereToBuy;VERIFYELEMENTPRESENT;;;: Verify the <WhereToBuy> is Present;;;;
;;;PDP;PDP;Save;VERIFYELEMENTPRESENT;;;: Verify the <Save> is Present;;;;
;;;;;Compare;VERIFYELEMENTPRESENT;;;: Verify the <Compare> is Present;;;;
;;;;;Share;VERIFYELEMENTPRESENT;;;: Verify the <Share> is Present;;;;
;;;;;Print;VERIFYELEMENTPRESENT;;;: Verify the <Print> is Present;;;;
;;;;;Share;CLICK;;;: Click on <Share>;;;;
;;;;;SocialMediaIcons;VERIFYELEMENTPRESENT;;;: Verify the <SocialMediaIcons> is Present;;;;
3;ValidatePDPSection;;PDP;PDP;FeatureTab;VERIFYELEMENTPRESENT;;;: Verify the <FeatureTab> is Present;;;;
;;;;;SpecificationTab;VERIFYELEMENTPRESENT;;;: Verify the <SpecificationTab> is Present;;;;
;;;;;ReviewTab;VERIFYELEMENTPRESENT;;;: Verify the <ReviewTab> is Present;;;;
;;;;;RecommendationTab;VERIFYELEMENTPRESENT;;;: Verify the <RecommendationTab> is Present;;;;
4;ValidateRating;;PDP;PDP;RatingStars;CLICK;;;: Click on <RatingStars>;;;;
;;;;;Review;VERIFYELEMENTPRESENT;;;: Verify the <Review> is Present;;;;
5;ValidateSpecificationManualSection;;PDP;PDP;SpecificationTab;CLICK;;;: Click on <SpecificationTab>;;;;
;;;;;SpecificationManaul;VERIFYELEMENTPRESENT;;;: Verify the <SpecificationManaul> is Present;;;;
6;WriteReviewPopup;;PDP;PDP;RatingStars;CLICK;;;: Click on <RatingStars>;;;;
;;;;;WriteReviewButton;EXPLICITWAIT;10;;: Explicitly Wait for <10>;;;;
;;;;;WriteReviewButton;CLICKJS;;;: Click on the <WriteReviewButton> using javascript;;;;
;;;;;WriteReviewModel;VERIFYELEMENTPRESENT;10;;: Verify the <WriteReviewModel> is Present;;;;
;;;;;CloseReviewWindow;CLICKJS;;;: Click on the <CloseReviewWindow> using javascript;;;;
7;WhereToBuy;;PDP;PDP;WhereToBuy;CLICK;;;: Click on <WhereToBuy>;;;;
;;;;;WhereToBuySection;VERIFYELEMENTPRESENT;;;: Verify the <WhereToBuySection> is Present;;;;
;;;;;BuyLocation;ENTER;Manhattan, NY;;: Enter <Manhattan, NY> into <BuyLocation>;;;;
;;;;;BuyLocation;ENTERPRESS;;;: Enter Press on <BuyLocation>;;;;
;;;;;Stores;EXPLICITWAIT;10;;: Explicitly Wait for <10>;;;;
;;;;;Stores;VERIFYELEMENTPRESENT;;;: Verify the <Stores> is Present;;;;
;;;;;;;;;;;;;
