TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
1;ValidatePLPPage;;HomePage;HomePage;WasherDryerTab;HOVERJS;;;: Mouse hover on the <WasherDryerTab>;;;;
;;;;;WasherTab;HOVERJS;;;: Mouse hover on the <WasherTab>;;;;
;;;;;TopLoadWasher;CLICK;;;: Click on <TopLoadWasher>;;;;
;;;PLP;PLP;PLPHeader;EXPLICITWAIT;10;;: Explicitly Wait for <10>;;;;
;;;;;RefineBy;VERIFYELEMENTPRESENT;;;: Verify the <RefineBy> is Present;;;;
2;ValidateFilter;;PLP;PLP;RefineBy;SCROLLINTOVIEW;;;: Scolls the <RefineBy> into view;;;;
;;;PLP;PLP;firstFeature;WAITTILLELEMENTDISPLAY;10;;: Wait until the is displayed;;;;
;;;;;firstFeature;SELECTCHECKBOX;;;: Select the checkbox <firstFeature>;;;;
;;;;;firstFeature;SETVARIABLE;{{FilterName}};;: Store the <firstFeature> text in <{{FilterName}}>;;;;
;;;;;selectedFeature;VERIFYTEXTIGNORECASE;;{{FilterName}};: Verify the Text of <selectedFeature> is as expected by Ignoring the case;;;;
;;;;;RemoveFeature;CLICK;;;: Click on <RemoveFeature>;;;;
3;ValidateGridListView;;PLP;PLP;GridView;CLICK;;;: Click on <GridView>;;;;
;;;;;GridView;VERIFYATTRIBUTEVALUE;class;glyphicon glyphicon-th grid-switch on;: Verify the attribute value of <class> of <ListView> is matching with expected;;;;
;;;;;ListView;CLICK;;;: Click on <GridView>;;;;
;;;;;ListView;VERIFYATTRIBUTEVALUE;class;glyphicon glyphicon-th-list list-switch on;: Verify the attribute value of <class> of <GridView> is matching with expected;;;;
4;ValidateCompare;;PLP;PLP;CompareCheckBox;CLICK;;;: Click on <CompareCheckBox>;;;;
;;;;;CompareProducts;EXPLICITWAIT;5;;: Explicitly Wait for <5>;;;;
;;;;;CompareProducts;CountPageLinks;;5;;;;;
5;ProductDetails;;SearchPage;Search;MSRP;VERIFYELEMENTPRESENT;;;: Verify the <MSRP> is Present;;;;
;;;PLP;PLP;Reviews;VERIFYELEMENTPRESENT;;;: Verify the Reviews is Present;;;;
;;;SearchPage;Search;SaveToCart;VERIFYELEMENTPRESENT;;;: Verify the SaveToCart is Present;;;;
;;;;;EnergyGuide;VERIFYELEMENTPRESENT;;;: Verify the <EnergyGuide> is Present;;;;
6;WPValidatePLPPage;;HomePage;HomePage_W;ProductsNav_WP;HOVER;;;: Hover on <ProductsNav_WP>;;;;
;;;;HomePage;WasherTab;HOVERJS;;;: Mouse hover on the <WasherTab>;;;;
;;;;HomePage_W;TopLoadWasher_WP;CLICK;;;: Click on <TopLoadWasher_WP>;;;;
;;;PLP;PLP;PLPHeader;EXPLICITWAIT;10;;: Explicitly Wait for <10>;;;;
;;;;;RefineBy;VERIFYELEMENTPRESENT;;;: Verify the <RefineBy> is Present;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
