TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
1;SearchByProductByName;;HomePage;HomePage;Search;ENTER;$PLP.PRODUCTNAME.FIELD1;;: Enter <$PLP.PRODUCTNAME.FIELD1> into <Search>;;;;
;;;;;Search;ENTERPRESS;;;: Enter Press on <Search>;;;;
;;;SearchPage;Search;ProductHeader;EXPLICITWAIT;10;;: Explicitly Wait for <10>;;;;
;;;;;ProductElements;ValidateTextFromList;;;;;;;
2;ValidateProductContentSection;;SearchPage;Search;Product;VERIFYELEMENTPRESENT;;;: Verify the <Product> is Present;;;;
;;;SearchPage;Search;Content;VERIFYELEMENTPRESENT;;;: Verify the <Content> is Present;;;;
3;SearchByProductByModelNumber;;HomePage;HomePage;Search;ENTER;$PLP.MODELNUMBER.FIELD1;;: Enter <$PLP.MODELNUMBER.FIELD1> into <Search>;;;;
;;;HomePage;HomePage;Search;ENTERPRESS;;;;;;;
;;;PDP;PDP;Image;EXPLICITWAIT;10;;: Explicitly Wait for <10>;;;;
;;;;;Name;VERIFYPARTTEXTPRESENT;;$PLP.PRODUCTNAME.FIELD1;: Verify the <Name> contains the partial text;;;;
4;ValidateFilter;;PLP;PLP;firstFeature;SELECTCHECKBOX;;;: Select the checkbox <firstFeature>;;;;
;;;;;firstFeature;SETVARIABLE;{{FilterName}};;: Store the <firstFeature> text in <{{FilterName}}>;;;;
;;;;;selectedFeature;VERIFYTEXTIGNORECASE;;{{FilterName}};: Verify the Text of <selectedFeature> is as expected by Ignoring the case;;;;
;;;;;RemoveFeature;CLICK;;;: Click on <RemoveFeature>;;;;
5;ValidateSort;;PLP;PLP;sortProducts;SELECTELEMENTBYINDEX;1;;: Select the item at <1> from <sortProducts>;;;;
;;;;;;IMPLICITWAIT;10;;: Wait implicitly for <10>;;;;
;;;;;allPrices;ValidateSorting;;;;;;;
6;ValidateGridListView;;SearchPage;Search;GridView;CLICK;;;: Click on <GridView>;;;;
;;;;;GridView;VERIFYATTRIBUTEVALUE;class;glyphicon glyphicon-th grid-switch  on;: Verify the attribute value of <class> of <GridView> is matching with expected;;;;
;;;;;ListView;CLICK;;;: Click on <ListView>;;;;
;;;;;ListView;VERIFYATTRIBUTEVALUE;class;glyphicon glyphicon-th-list list-switch on;: Verify the attribute value of <class> of <ListView> is matching with expected;;;;
7;ProductDetails;;SearchPage;Search;MSRP;VERIFYELEMENTPRESENT;;;: Verify the <MSRP> is Present;;;;
;;;;;Reviews;VERIFYELEMENTPRESENT;;;: Verify the Reviews is Present;;;;
;;;;;SaveToCart;VERIFYELEMENTPRESENT;;;: Verify the SaveToCart is Present;;;;
;;;;;EnergyGuide;VERIFYELEMENTPRESENT;;;: Verify the <EnergyGuide> is Present;;;;
8;RefineSelection;;SearchPage;Search;Product;CLICK;;;: Click on <Product>;;;;
;;;;;Product;VERIFYATTRIBUTEVALUE;class;active;: Verify the attribute value of <class> of <Product> is matching with expected;;;;
;;;;;ProductRefineBy;VERIFYELEMENTPRESENT;;;: Verify the <ProductRefineBy> is Present;;;;
;;;;;Content;CLICK;;;: Click on <Content>;;;;
;;;;;Content;VERIFYATTRIBUTEVALUE;class;active;: Verify the attribute value of <class> of <Content> is matching with expected;;;;
;;;;;ContentRefineBy;VERIFYELEMENTPRESENT;;;: Verify the <ContentRefineBy> is Present;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
